Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.27,-.04,-.35,-.13,-.01,-.82,-.45,-.26,-.15,-.10,-.03,.05,.65
1881,-.07,-.16,.01,-.32,.10,-.06,-.92,-.41,-.17,.10,.11,-.04,-.07,.57
1882,-.10,-.20,-.01,-.28,-.05,.02,-1.41,-.24,-.11,-.05,-.05,.02,.04,.61
1883,-.16,-.26,-.06,-.31,-.16,.00,-.19,-.53,-.22,-.17,-.15,-.03,.07,.48
1884,-.27,-.41,-.14,-.58,-.15,-.13,-1.31,-.62,-.43,-.13,-.16,-.18,-.02,.63
1885,-.33,-.43,-.24,-.64,-.13,-.27,-1.52,-.66,-.44,-.07,-.20,-.33,-.15,.80
1886,-.31,-.42,-.20,-.55,-.20,-.21,-1.59,-.48,-.38,-.21,-.18,-.19,-.21,.57
1887,-.35,-.43,-.28,-.51,-.30,-.28,-1.77,-.48,-.27,-.29,-.30,-.27,-.26,.30
1888,-.17,-.23,-.12,-.41,.09,-.28,-1.31,-.41,-.23,.06,.12,-.30,-.22,.14
1889,-.10,-.17,-.04,-.28,.07,-.16,-.69,-.20,-.26,.01,.13,-.15,-.15,.43
1890,-.35,-.38,-.32,-.44,-.37,-.22,-1.14,-.53,-.25,-.27,-.48,-.17,-.27,.13
1891,-.22,-.26,-.19,-.42,-.08,-.21,-1.15,-.33,-.35,.00,-.17,-.17,-.24,-.18
1892,-.27,-.39,-.15,-.43,-.30,-.08,-1.18,-.65,-.16,-.33,-.27,.03,-.21,.07
1893,-.31,-.47,-.15,-.51,-.36,-.04,-.74,-.55,-.46,-.41,-.31,.08,-.20,-.06
1894,-.30,-.39,-.21,-.33,-.34,-.23,-1.00,-.33,-.17,-.48,-.19,-.14,-.35,-.40
1895,-.23,-.30,-.15,-.40,-.08,-.25,-.73,-.53,-.25,-.14,.00,-.19,-.32,-.60
1896,-.11,-.19,-.03,-.35,.09,-.14,-.94,-.36,-.21,.06,.13,-.14,-.13,.23
1897,-.11,-.16,-.05,-.35,.16,-.23,-.62,-.46,-.23,.14,.19,-.18,-.27,.38
1898,-.27,-.27,-.26,-.33,-.23,-.26,-1.16,-.19,-.21,-.18,-.28,-.27,-.21,.36
1899,-.18,-.21,-.15,-.24,-.13,-.18,-1.09,-.09,-.13,-.16,-.10,-.15,-.22,.56
1900,-.08,-.08,-.07,-.19,.16,-.29,-.57,-.12,-.14,.09,.24,-.28,-.29,.25
1901,-.15,-.12,-.18,-.15,-.04,-.30,-.42,-.09,-.13,-.06,-.02,-.27,-.33,.24
1902,-.27,-.32,-.22,-.51,-.04,-.34,-1.34,-.49,-.31,-.02,-.06,-.27,-.43,-.07
1903,-.36,-.37,-.37,-.45,-.29,-.38,-.23,-.41,-.54,-.23,-.35,-.35,-.40,-.48
1904,-.46,-.47,-.46,-.50,-.46,-.43,-.18,-.58,-.53,-.43,-.50,-.37,-.49,-1.30
1905,-.26,-.28,-.23,-.40,-.09,-.35,-.10,-.22,-.60,-.11,-.06,-.32,-.37,-.32
1906,-.22,-.23,-.21,-.25,-.20,-.23,-.31,-.05,-.37,-.21,-.18,-.20,-.22,-.69
1907,-.38,-.47,-.30,-.58,-.31,-.29,-.62,-.71,-.50,-.31,-.31,-.20,-.36,-1.18
1908,-.42,-.45,-.40,-.48,-.44,-.35,-.28,-.54,-.50,-.42,-.46,-.28,-.48,.69
1909,-.48,-.49,-.47,-.53,-.48,-.43,-.79,-.61,-.42,-.43,-.52,-.36,-.52,-.55
1910,-.43,-.44,-.42,-.41,-.49,-.37,-.60,-.23,-.48,-.49,-.49,-.32,-.45,.18
1911,-.44,-.42,-.45,-.42,-.42,-.48,-.30,-.41,-.46,-.42,-.42,-.43,-.52,.07
1912,-.36,-.46,-.24,-.59,-.18,-.36,-.53,-.78,-.48,-.27,-.09,-.36,-.29,-1.61
1913,-.34,-.42,-.26,-.44,-.28,-.34,-.52,-.33,-.49,-.40,-.15,-.28,-.40,-1.02
1914,-.15,-.19,-.11,-.25,-.06,-.17,-.40,-.16,-.27,-.11,-.01,-.15,-.18,-.34
1915,-.14,-.14,-.13,-.23,-.01,-.22,-.63,-.16,-.17,.00,-.02,-.15,-.23,-1.96
1916,-.35,-.41,-.30,-.36,-.45,-.22,-.48,-.54,-.23,-.49,-.40,-.22,-.17,-1.03
1917,-.46,-.57,-.36,-.49,-.64,-.18,-.85,-.49,-.42,-.69,-.58,-.22,-.09,.08
1918,-.29,-.39,-.20,-.40,-.33,-.13,-1.04,-.26,-.33,-.38,-.28,-.06,-.22,-.26
1919,-.27,-.35,-.20,-.43,-.20,-.22,-.73,-.55,-.29,-.22,-.17,-.14,-.32,.22
1920,-.27,-.30,-.24,-.25,-.26,-.32,-.03,-.20,-.34,-.37,-.13,-.19,-.48,-1.12
1921,-.19,-.11,-.26,.02,-.25,-.30,.00,.17,-.08,-.29,-.21,-.22,-.38,-.82
1922,-.28,-.27,-.29,-.24,-.32,-.27,-.32,-.40,-.13,-.32,-.32,-.24,-.28,-.26
1923,-.26,-.22,-.31,-.15,-.30,-.33,.15,-.15,-.25,-.31,-.28,-.26,-.41,-.53
1924,-.27,-.18,-.36,-.13,-.26,-.43,.44,-.25,-.22,-.26,-.26,-.39,-.45,-.51
1925,-.22,-.13,-.30,-.04,-.24,-.37,-.08,.18,-.18,-.27,-.21,-.24,-.55,-.84
1926,-.10,.02,-.22,.03,.02,-.40,.58,.16,-.21,.01,.02,-.34,-.45,-.62
1927,-.22,-.13,-.30,-.13,-.16,-.38,.02,-.22,-.12,-.14,-.18,-.30,-.45,-1.36
1928,-.20,-.10,-.30,-.06,-.16,-.39,.71,-.17,-.22,-.15,-.17,-.29,-.48,-2.10
1929,-.36,-.33,-.38,-.37,-.28,-.45,.14,-.61,-.38,-.27,-.29,-.42,-.44,-1.06
1930,-.16,-.01,-.29,.04,-.11,-.42,.54,.04,-.10,-.09,-.14,-.33,-.46,-2.58
1931,-.10,.05,-.22,.01,.07,-.42,.57,-.04,-.14,.10,.04,-.42,-.40,-.39
1932,-.16,-.06,-.26,.04,-.17,-.35,.49,.19,-.21,-.19,-.15,-.21,-.53,-.97
1933,-.29,-.26,-.32,-.24,-.29,-.34,-.16,-.47,-.12,-.28,-.29,-.22,-.48,-1.13
1934,-.13,.00,-.26,.18,-.26,-.26,.88,.31,-.12,-.26,-.25,-.16,-.38,-.55
1935,-.20,-.09,-.30,-.05,-.19,-.38,.35,-.05,-.16,-.17,-.21,-.31,-.41,-1.70
1936,-.15,-.03,-.27,-.03,-.13,-.30,.40,.11,-.25,-.05,-.22,-.27,-.33,-.02
1937,-.03,.12,-.18,.20,-.06,-.22,1.24,.03,-.02,.01,-.12,-.19,-.25,.38
1938,.00,.16,-.18,.39,-.23,-.10,1.51,.39,.03,-.18,-.28,-.06,-.11,-.85
1939,-.02,.09,-.13,.23,-.12,-.12,.57,.28,.08,-.11,-.14,-.04,-.18,-1.58
1940,.13,.18,.09,.11,.28,-.07,1.00,-.02,-.09,.27,.28,.03,-.20,-.04
1941,.19,.23,.17,.02,.49,-.05,.01,-.10,.09,.55,.43,.04,-.15,-.45
1942,.07,.13,.00,.13,.07,-.01,.73,-.06,.06,.12,.03,.05,-.05,-.88
1943,.09,.18,-.01,.37,-.09,.04,1.42,.28,.11,-.11,-.07,.07,.00,1.16
1944,.20,.27,.14,.38,.18,.05,1.18,.47,.10,.11,.26,.19,-.10,-.92
1945,.09,.10,.09,.11,.17,-.03,.63,-.03,.04,.10,.24,.04,.00,-1.75
1946,-.07,.03,-.17,.07,-.05,-.24,-.02,-.05,.17,-.03,-.08,-.22,-.24,-.14
1947,-.03,.08,-.14,.16,-.07,-.16,1.07,-.13,.05,-.03,-.10,-.19,-.08,-.18
1948,-.11,-.02,-.20,.13,-.19,-.24,.12,.32,.01,-.23,-.14,-.19,-.19,-1.35
1949,-.11,-.03,-.20,.11,-.19,-.23,.21,.17,.05,-.23,-.15,-.17,-.15,-1.95
1950,-.17,-.15,-.20,-.05,-.29,-.14,.20,-.31,.04,-.30,-.28,-.06,-.16,-.85
1951,-.07,.04,-.18,.08,-.06,-.23,.09,.01,.12,-.01,-.12,-.22,-.16,-.68
1952,.01,.06,-.03,.11,.02,-.09,.27,-.09,.19,-.01,.05,-.10,-.02,-.48
1953,.08,.24,-.07,.35,.07,-.18,1.02,.35,.14,.08,.06,-.08,-.24,-1.08
1954,-.13,-.02,-.25,.07,-.21,-.22,.81,-.21,.00,-.14,-.29,-.17,-.20,-.80
1955,-.14,-.09,-.20,.04,-.34,-.06,-.24,-.11,.23,-.30,-.39,-.16,-.08,1.23
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.47,-.09,-.29,-.37,-.14,.02,.77
1957,.05,.04,.06,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.02,.08,.20,-.15,-.17,.14,.12,.26,.15,-.08,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.48,.18,.05,.07,.08,-.03,-.26,-.36
1960,-.02,.08,-.13,.09,.02,-.20,.33,-.07,.11,.06,-.02,-.10,-.07,-.76
1961,.06,.09,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.08,.45,.31,.14,-.05,-.05,.09,-.07,-.66
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.04
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.02
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.07,-.09,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.08
1969,.05,-.03,.14,-.29,.34,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.07,.11,-.21,-.13,-.06,.07,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.29,-.22,.03,.16,.43
1972,.01,-.17,.20,-.34,.16,.14,-.37,-.47,-.24,.07,.26,.16,-.02,.45
1973,.16,.09,.23,.11,.19,.18,.07,.27,.02,.08,.30,.21,.07,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.18,-.07,-.18,-.23,-.17,.21,-.08,.65
1975,-.01,-.05,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.17,.13,.14,.29
1976,-.10,-.21,.01,-.26,-.11,.08,-.07,-.32,-.28,-.13,-.10,.10,.22,-.24
1977,.18,.12,.24,.14,.16,.25,.16,.24,.07,.10,.22,.21,.31,.28
1978,.07,.02,.11,-.03,.08,.16,-.16,.03,-.03,.10,.05,.21,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.61,.06,.09,.26,.27,.30,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.25,.02,.02,.33,.29,.35,.37,.59
1981,.32,.37,.27,.48,.18,.36,1.09,.78,.08,.22,.14,.28,.38,.61
1982,.14,.05,.23,-.08,.27,.18,-.40,.09,-.08,.25,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.24,.19,.69,-.07,.29,.57,.21,.41,.04
1984,.16,.04,.28,.02,.18,.26,.37,.08,-.13,.07,.29,.16,.32,.52
1985,.12,.00,.23,-.03,.09,.30,.39,-.26,-.01,.04,.14,.30,.44,.04
1986,.18,.13,.23,.11,.22,.19,.01,.28,.03,.17,.27,.25,.25,-.11
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.62,.32,.25,.01
1988,.39,.37,.40,.40,.37,.39,.59,.57,.24,.32,.42,.38,.20,.87
1989,.27,.27,.27,.41,.13,.33,.34,.69,.25,.06,.19,.36,.30,.35
1990,.45,.53,.37,.63,.37,.37,.59,.88,.49,.38,.36,.37,.37,.38
1991,.41,.41,.40,.47,.36,.39,.76,.66,.26,.32,.41,.31,.29,.96
1992,.22,.14,.31,.10,.28,.26,-.16,.44,-.03,.20,.37,.20,.32,.38
1993,.23,.19,.28,.13,.32,.22,.54,.29,-.11,.29,.36,.26,.39,-.30
1994,.32,.37,.26,.44,.31,.20,.35,.50,.42,.28,.34,.26,.23,-.05
1995,.45,.58,.32,.70,.43,.22,1.32,.99,.32,.40,.45,.29,.15,.15
1996,.33,.27,.39,.24,.32,.43,.77,.17,.11,.31,.33,.33,.28,1.20
1997,.46,.52,.41,.54,.51,.33,.77,.90,.23,.50,.52,.42,.36,-.01
1998,.61,.71,.52,.78,.69,.33,.86,.94,.66,.59,.79,.39,.31,.16
1999,.38,.48,.28,.70,.20,.31,.41,.80,.74,.15,.25,.46,.19,.04
2000,.39,.50,.29,.70,.24,.29,.98,.80,.55,.21,.28,.42,.10,.27
2001,.54,.64,.43,.81,.42,.43,1.07,.86,.69,.40,.44,.58,.24,.32
2002,.63,.72,.54,.83,.59,.47,1.26,1.00,.58,.55,.63,.50,.31,.76
2003,.62,.75,.49,.84,.64,.37,1.50,.98,.54,.61,.66,.44,.24,.43
2004,.54,.66,.42,.73,.55,.33,.47,.96,.67,.56,.53,.48,.23,.04
2005,.68,.86,.50,1.02,.62,.42,1.99,1.23,.57,.62,.61,.49,.18,.70
2006,.64,.82,.46,.99,.55,.41,1.74,1.06,.70,.56,.54,.51,.19,.48
2007,.67,.85,.48,1.13,.46,.48,2.12,1.32,.69,.44,.47,.50,.07,1.28
2008,.54,.68,.40,.92,.37,.40,1.55,1.08,.62,.33,.41,.53,.08,.62
2009,.66,.73,.59,.78,.67,.52,1.43,.60,.69,.65,.70,.61,.15,1.01
2010,.72,.90,.55,1.03,.68,.48,2.22,.86,.74,.72,.64,.64,.20,.49
2011,.61,.74,.46,.99,.36,.55,2.35,.94,.58,.38,.35,.64,.18,1.01
2012,.64,.81,.47,1.05,.52,.41,2.22,.93,.74,.47,.56,.56,.19,.33
2013,.68,.80,.56,.95,.57,.55,1.55,1.04,.70,.58,.57,.63,.22,.91
2014,.75,.92,.57,1.08,.66,.52,2.03,1.14,.74,.68,.64,.73,.18,.56
2015,.90,1.18,.62,1.32,.95,.40,1.99,1.48,1.01,.97,.93,.76,.18,-.36
2016,1.01,1.31,.72,1.55,1.00,.49,3.24,1.44,1.08,.95,1.06,.67,.25,.37
2017,.92,1.18,.67,1.40,.81,.59,2.52,1.38,1.05,.86,.77,.76,.34,.53
2018,.85,1.04,.66,1.26,.67,.68,2.16,1.10,1.07,.72,.62,.80,.37,.92
2019,.98,1.21,.75,1.43,.89,.65,2.70,1.44,1.01,.90,.89,.75,.39,.86